address,allocation
0x270e1844268d0eef88e2d04abcea07a805ab4cc8,"1,200"
0xbc724846c40a783b382a67d3d2337ae27c721017,"1,200"
0x481e65d9075c74f6d13b94b8f88becff2f78a44e,"1,200"
0xf4386fc43db309a3a91ca741d83ea34bd7c94445,"1,200"
0xfa18b900107275a626e108fdc810761a3f7769e2,"1,200"
0x9068450b0ee1765dd8761bd1cee17605473aa36f,"1,200"
0x1172fb2577cab660648250078a507056332384c9,"1,198.49"
0x3057d3928f92fc921d35e22bc84bed7cfce74e52,"1,193"
0x60231dec34cb67686405116a1432207c4cbc5c2e,"1,146.25"
0x2294f690d347dfe99fee2e3546605be3465931ff,"1,134.38"
0x792d5d34f1f9b02e281859ba6ab1e4725d24b94d,"1,130.43"
0xaadd01adfe6ccf610b3f28d4896e8ed789998907,"1,111.82"
0x416be6d7ee36693c3bab068ddfb77c575581e8eb,"1,279.86"
0x50d4a32276d93d2a1db90beddda67d0b591b05c0,"1,094.90"
0xacc11bde636b637138aa2932452ad9690e1bc0d7,"1,611.32"
0x3743f222e1e71e20188226288cafa533bc819ca1,"1,067.80"
0xa6aafdd9e8b77febb96bf60e853a905770a7ebd3,"1,066.20"
0x37d03b4bfa14311852a740acc0a80aca77bfaea7,"1,236.49"
0x084d9d403f65d278614543b15605c1846f76ae47,"1,026.09"
0x5cd9cb48cfb11c28a51bcae84b268d38708b4e6e,"1,021"
0x85911697f014fcf3e5f8d62c381ff80622977c47,"1,346.40"
0x19c16eca7a534d63943c5304cd4b5f0e521eae0a,"1,014"
0xb49356bfc33586efbcb4a3949bca5e08efb45f3e,"1,014"
0x2faab33ef02cba240da07afe8c6c95b38b1b62da,"1,005.53"
0x162482b2370ae071a24bdd9ff575d38f2724086f,"1,004.33"
0xb27f4a3287a4527a08049d8c38b53af2dd5070d7,"1,000"
0xa4d294ed32cb870fb6ee5f1ec03f581b5a3ee50e,"1,000"
0x79c7b8fa4b280b6059a41f84ae1e69789f5460ea,"1,000"
0x981abca8f25163f62db6dc7b543e00491edd8320,"1,000"
0xd0d83f483e8da1cf6bd13273b33c6ded78f74c01,"1,000"
0xc4ff90894930237784d012a614966cd335c21551,"1,000"
0x9a7b7dbf4c805705d8de57dcfa623aa292d09dde,"1,000"
0x8cb91a235ead5676ee02e39bf769d035f972be94,"1,000"
0xc3f0924a3cfce345234ff2fb6e3e7da6c963c4ec,"1,000"
0x92fb3935de3583ea4d8bafa9db5b01827f6a14f4,"1,000"
0xddb65d533d4c26516aa97a2f3826b4a6497aa546,"1,000"
0x9f194625b3bc639882e0e59b82794149d755b7be,993.5385714
0x2b354afbaf14bafcda73370eefeddb53ec18d28b,978.0991934
0x139e92ec45ff918aa15950733f7094171f42b543,1152.145902
0xe218ddb0cec0ce4e612a17d090ea72021e35795c,1135.730669
0xf7defb5ae37347f9d9da8e36ffaffd81f6e4517c,941.1459023
0x221d5ddcff331d22f4f9ac2bc1d8ab9c558dca17,940
0x765696f3984163bee9a522724e7296e66629b3e8,936.4323779
0x16311764d97d136c3800cdc6ccd726439ccc56de,901
0x3e7be85e78cb5b5b0bd5cb50a09fd921337d36cb,900
0x376ccd7102c5488f797b39d8138b47582c8c7a34,900
0x48cd7be6874041feefb20a4bf50cfe109ac28934,900
0x551a7a66cfcf2d180c9674d56f4923cd43ab7bc0,900
0x580c183a5c5c8c16409d2a50833656519d052663,900
0x70816eca1e5b1f6ca10506bd50f1b75617e29c2c,900
0x5f01047b0674e116281c8ecc91825f42640e5876,900
0xe4e1d93fc67ccb51fc2b8a779df5ac9236f41838,900
0x69b57d030f63d399610cd813af277f70db01549f,900
0xbfada6c7b52b4fe1e371d982c9af14b5f46c66b8,900
0xcdf396e2522b027838d72c292cba456e72b08a7f,900
0x53b7f43896cd49d31b0765db7bc8e1826d935c39,900
0x1217bb03d3cd492d87ee33f1035d536a2f1b5d7c,900
0xf12564fb64b4a66ca89fb6bebebc855fb20216cd,900
0x69638f61b8fda50b5f0583e9fdc53e0d370cc63f,900
0xb6857ee71aee66b1670959aee15edf20b3179345,900
